"HMDB.ID","Sub_Class","Class"
"HMDB00001","Amino acids peptides and analogues","Carboxylic acids and derivatives"
"HMDB00002","Amines","Organonitrogen compounds"
"HMDB00005","Short-chain keto acids and derivatives","Keto acids and derivatives"
"HMDB00008","Alpha hydroxy acids and derivatives","Hydroxy acids and derivatives"
"HMDB00010","Estrane steroids","Steroids and steroid derivatives"
"HMDB00011","Beta hydroxy acids and derivatives","Hydroxy acids and derivatives"
"HMDB00012","Pyrimidine 2'-deoxyribonucleosides","Pyrimidine nucleosides"
"HMDB00014","Pyrimidine 2'-deoxyribonucleosides","Pyrimidine nucleosides"
"HMDB00015","Hydroxysteroids","Steroids and steroid derivatives"
"HMDB00016","Hydroxysteroids","Steroids and steroid derivatives"
"HMDB00017","Pyridinecarboxylic acids and derivatives","Pyridines and derivatives"
"HMDB00019","Short-chain keto acids and derivatives","Keto acids and derivatives"
"HMDB00020","1-hydroxy-2-unsubstituted benzenoids","Phenols"
"HMDB00021","Amino acids peptides and analogues","Carboxylic acids and derivatives"
"HMDB00022","Methoxyphenols","Phenols"
"HMDB00023","Beta hydroxy acids and derivatives","Hydroxy acids and derivatives"
"HMDB00024","Glycosphingolipids","Sphingolipids"
"HMDB00026","Ureas","Organic carbonic acids and derivatives"
"HMDB00027","Pterins and derivatives","Pteridines and derivatives"
"HMDB00030","","Biotin and derivatives"
"HMDB00031","Androstane steroids","Steroids and steroid derivatives"
"HMDB00032","Cholestane steroids","Steroids and steroid derivatives"
"HMDB00033","Hybrid peptides","Peptidomimetics"
"HMDB00034","Purines and purine derivatives","Imidazopyrimidines"
"HMDB00036","Bile acids alcohols and derivatives","Steroids and steroid derivatives"
"HMDB00037","Hydroxysteroids","Steroids and steroid derivatives"
"HMDB00038","Pterins and derivatives","Pteridines and derivatives"
"HMDB00039","Fatty acids and conjugates","Fatty Acyls"
"HMDB00042","Carboxylic acids","Carboxylic acids and derivatives"
"HMDB00043","Amino acids peptides and analogues","Carboxylic acids and derivatives"
"HMDB00044","Furanones","Dihydrofurans"
"HMDB00045","Purine ribonucleotides","Purine nucleotides"
"HMDB00048","Carbohydrates and carbohydrate conjugates","Organooxygen compounds"
"HMDB00050","","Purine nucleosides"
"HMDB00051","","Homogeneous other non-metal compounds"
"HMDB00052","Amino acids peptides and analogues","Carboxylic acids and derivatives"
"HMDB00053","Androstane steroids","Steroids and steroid derivatives"
"HMDB00054","Bilirubins","Tetrapyrroles and derivatives"
"HMDB00055","Carbohydrates and carbohydrate conjugates","Organooxygen compounds"
"HMDB00056","Amino acids peptides and analogues","Carboxylic acids and derivatives"
"HMDB00058","Cyclic purine nucleotides","Purine nucleotides"
"HMDB00060","Short-chain keto acids and derivatives","Keto acids and derivatives"
"HMDB00061","Purine ribonucleotides","Purine nucleotides"
"HMDB00062","Quaternary ammonium salts","Organonitrogen compounds"
"HMDB00063","Hydroxysteroids","Steroids and steroid derivatives"
"HMDB00064","Amino acids peptides and analogues","Carboxylic acids and derivatives"
"HMDB00067","Cholestane steroids","Steroids and steroid derivatives"
"HMDB00068","Benzenediols","Phenols"
"HMDB00070","Amino acids peptides and analogues","Carboxylic acids and derivatives"
"HMDB00071","Purine 2'-deoxyribonucleosides","Purine nucleosides"
"HMDB00072","Tricarboxylic acids and derivatives","Carboxylic acids and derivatives"
