"Feature_index","HMDB_ID","Metabolite","mz","Priority_score","Status","Module","Anchor","Related_classes","Covaries_with_standard","AVA","qvalue","effect_size","RT","Method"
"829","","",795.699,1,"depleted in IBD",16,"5alpha-Cholestanol","Steroids and steroid derivatives","1",40.4382,3.47689090224283e-07,12.4852,7.49,"C8-pos"
"380","","",401.378,0.9988,"depleted in IBD",16,"5alpha-Cholestanol","Steroids and steroid derivatives","1",2.9028,3.47689090224283e-07,10.3464,7.5,"C8-pos"
"257","","",773.7169,0.9977,"depleted in IBD",16,"5alpha-Cholestanol","Steroids and steroid derivatives","1",15.7132,8.79853106959839e-07,11.5196,7.5,"C8-pos"
"197","","",441.3705,0.9965,"depleted in IBD",16,"5alpha-Cholestanol","Steroids and steroid derivatives","1",1.2267,3.47689090224283e-07,9.351,7.5,"C8-pos"
"93","","",401.3779,0.9954,"depleted in IBD",16,"5alpha-Cholestanol","Steroids and steroid derivatives","1",1.1977,4.32789652942172e-07,9.5287,8.58,"C8-pos"
"623","","",427.3549,0.9942,"depleted in IBD",16,"5alpha-Cholestanol","Steroids and steroid derivatives","1",2.4931,8.7755193308939e-07,9.0981,7.5,"C8-pos"
"15","","",371.3583,0.9931,"depleted in IBD",16,"5alpha-Cholestanol","Steroids and steroid derivatives","1",0.9775,5.0047257375422e-07,9.3572,7.5,"C8-pos"
"875","HMDB0000908","5alpha-Cholestanol",371.3656,0.9919,"depleted in IBD",16,"5alpha-Cholestanol","Steroids and steroid derivatives","1",1,3.09981456651594e-06,8.3768,1.69,"HILIC-pos"
"420","","",389.3688,0.9908,"depleted in IBD",16,"5alpha-Cholestanol","Steroids and steroid derivatives","1",1.569,7.19582524474529e-06,7.3144,7.5,"C8-pos"
"710","","",851.7614,0.9896,"depleted in IBD",9,"","","0",0.5514,8.7755193308939e-07,11.2965,8.02,"C8-pos"
"394","","",404.3889,0.9885,"depleted in IBD",16,"5alpha-Cholestanol","Steroids and steroid derivatives","1",11.1613,0.000122289579678283,7.7957,7.5,"C8-pos"
"806","","",243.2107,0.9873,"depleted in IBD",16,"5alpha-Cholestanol","Steroids and steroid derivatives","1",0.5184,5.65927947106562e-07,9.0136,7.5,"C8-pos"
"330","","",425.3181,0.9862,"depleted in IBD",16,"5alpha-Cholestanol","Steroids and steroid derivatives","1",0.5718,8.79853106959839e-07,8.2735,7.49,"C8-pos"
"381","","",369.3517,0.985,"depleted in IBD",16,"5alpha-Cholestanol","Steroids and steroid derivatives","1",24.9208,1.35413294278085e-05,5.6839,7.5,"C8-pos"
"479","","",409.3442,0.9839,"depleted in IBD",16,"5alpha-Cholestanol","Steroids and steroid derivatives","1",74.9293,1.03820147089915e-06,4.8544,7.5,"C8-pos"
"559","HMDB0013325","C10:2 carnitine",312.2157,0.9827,"enriched in IBD",0,"","","0",1,0.000149997454908073,6.8959,7.26,"HILIC-pos"
"477","","",387.3621,0.9816,"depleted in IBD",16,"5alpha-Cholestanol","Steroids and steroid derivatives","1",43.3955,0.000205718652974122,5.6581,7.5,"C8-pos"
"803","","",252.5724,0.9804,"enriched in IBD",26,"tauroursodeoxycholic acid","Steroids and steroid derivatives","1",0.8298,0.000254398508632023,7.9845,6.93,"HILIC-neg"
"773","","",287.6116,0.9793,"enriched in IBD",12,"","","0",0.3692,6.47966453206923e-06,9.3449,6.87,"HILIC-neg"
"737","","",446.3995,0.9781,"depleted in IBD",16,"5alpha-Cholestanol","Steroids and steroid derivatives","1",0.3864,2.1512718701098e-06,8.2038,7.49,"C8-pos"
"548","HMDB0000921","cholestenone",791.6675,0.977,"depleted in IBD",7,"cholestenone","Steroids and steroid derivatives","1",0.6049,0.000163616666857388,7.9644,7,"C8-pos"
