"P7122","P7147","P7150","P7153","P7184","P7238","P7406","P7408","P7421","P7445","P7486","P7547","P7658","P7662","P7744","P7759","P7791","P7843","P7847","P7855","P7858","P7860","P7861","P7862","P7870","P7874","P7875","P7879","P7899","P7904","P7906","P7908","P7909","P7910","P7911","P7912","P7938","P7941","P7947","P7948","P7955","P7971","P7989","P8095","P8226","P8244","P8264","P8283","P8332","P8336","P8361","P8374","P8377","P8406","P8452","P8462","P8466","P8467","P8475","P8483","P8485","P8496","P8523","P8534","P8537","P8550","P8564","P8565","P8573","P8577","P8589","P8591","P8592","P8624","P8629","P8675","P8683","P8746","P8749","P8753","P8754","P8758","P8764","P8765","P8774","P8776","P8783","P8784","P8788","P8789","P8794","P8800","P8802","P8806","P8807","P8841","P8843","P8847","P8878","P8892","P9126","P9148"
NA,NA,134322,344617,NA,785393,NA,2211857,NA,657847,NA,392276,NA,NA,NA,NA,NA,1293017,NA,NA,NA,NA,NA,163034,157085,NA,127954,NA,NA,78094,NA,NA,NA,NA,19094,NA,207566,405889,NA,448008,NA,NA,NA,89081,NA,NA,NA,1369756,NA,83161,NA,NA,966273,NA,NA,840442,NA,NA,1610542,NA,251861,215548,NA,NA,NA,80939,NA,NA,NA,NA,NA,911260,976407,NA,NA,NA,NA,76619,2279218,NA,359353,98677,NA,137938,NA,NA,100107,NA,NA,NA,NA,NA,21324,NA,90805,NA,767845,NA,293070,NA,NA,NA
NA,NA,NA,NA,NA,NA,11577,NA,NA,NA,3036,NA,NA,480,NA,NA,NA,2141,NA,NA,NA,NA,NA,NA,197,156,72908,NA,NA,NA,NA,407,565,NA,NA,NA,1074,NA,NA,20083,NA,23397,NA,NA,104231,NA,65090,NA,NA,384346,NA,NA,NA,NA,84809,3302,NA,233,739,NA,NA,NA,47830,260027,398,1216,1890,103442,328,NA,NA,17299,NA,NA,15368,12802,62230,50368,6187,2743,360,2207,2669,NA,472,NA,NA,NA,430,NA,269,294,NA,77690,NA,883,2413,1703,52233,NA,7988,NA
NA,NA,1590822,NA,82271,NA,597267,NA,NA,NA,2809511,151081,NA,NA,NA,NA,NA,1257756,NA,NA,NA,NA,NA,NA,NA,NA,14299770,NA,NA,NA,NA,NA,NA,NA,NA,NA,2544129,4589086,NA,328370,NA,352862,NA,NA,7773380,NA,1002080,NA,NA,363095,NA,NA,3768771,NA,5660787,607505,NA,95962,2291452,NA,NA,NA,17754554,1127685,NA,5319387,NA,2610851,659533,NA,NA,1970356,NA,NA,NA,261626,919074,1316027,70571,221145,NA,1662179,NA,NA,625059,NA,266214,NA,NA,NA,415740,458332,NA,6804372,4690511,NA,5815078,956464,6392153,635478,NA,NA
NA,8173,NA,126909,NA,NA,NA,NA,44494,NA,118718,20635,NA,736,NA,24012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,NA,NA,NA,414512,NA,NA,NA,NA,659,NA,452,NA,221,10197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150901,NA,711,NA,NA,302,NA,55034,NA,NA,NA,209423,NA,NA,NA,5771,NA,NA,NA,NA,NA,238,NA,NA,NA,NA,NA,NA,NA,NA,NA,33171,4936,NA,NA,NA,79186,NA,NA,NA,NA
NA,NA,NA,118,NA,NA,11900,NA,NA,6963,180,NA,NA,NA,NA,NA,NA,12289,NA,NA,NA,NA,NA,NA,1674,722,NA,2043,NA,113,2996,NA,NA,NA,NA,NA,NA,NA,4122,159904,NA,NA,NA,1028,NA,NA,NA,NA,NA,NA,NA,16224,6515,NA,NA,3313,NA,1044,NA,19,NA,NA,81461,38013,NA,NA,15207,NA,NA,NA,NA,38311,NA,NA,NA,6106,811958,4275,NA,25110,NA,NA,NA,19488,NA,578,5459,NA,NA,NA,NA,NA,3215,2174,NA,NA,NA,NA,67,5866,NA,NA
NA,NA,118022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82145,NA,NA,NA,NA,NA,NA,NA,NA,1668942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84848,NA,NA,NA,NA,NA,NA,NA,NA,NA,764659,147926,NA,NA,NA,NA,NA,NA,4420360,NA,NA,494649,NA,515890,NA,NA,NA,NA,NA,NA,NA,NA,320706,NA,NA,NA,81211,NA,NA,53838,NA,NA,158392,NA,NA,NA,NA,NA,NA,755690,207331,489801,NA,NA,437278,NA,NA,NA
NA,NA,NA,NA,NA,NA,306100,NA,NA,NA,NA,NA,NA,NA,372392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,391488,219554,409630,NA,NA,NA,204543,1652277,NA,NA,71286,NA,NA,NA,58802,237688,714205,NA,NA,NA,NA,NA,NA,70982,NA,541213,NA,NA,NA,NA,NA,NA,NA,NA,59065,166353,NA,11577143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3001780,NA,NA,NA,155277,NA,NA,290051,NA,2503775,NA,NA,413065,388250,NA,NA,174277,NA,NA,NA,NA,38384,201010,NA,NA,NA
266,NA,NA,NA,2391,504,4228,NA,2960,NA,NA,457,NA,2762,30618,2848,1578,NA,1830,2087,NA,NA,2295,NA,1028,27833,11472,818,NA,6611,NA,NA,20454,197,1973,321,NA,NA,NA,3074,60,NA,NA,510,NA,531,NA,2177,1807,688,61646,197,1400,NA,583,6822,NA,355,3604,983,33805,NA,822146,476,NA,NA,1217,NA,NA,12830,NA,3520,6348,NA,NA,NA,587075,NA,NA,NA,2580,NA,NA,33048,87162,NA,NA,3105,5062,NA,NA,1799,4838,22826,597,NA,NA,NA,14880,201,NA,NA
NA,NA,249785,NA,NA,NA,185541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2853911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75074,NA,NA,NA,NA,NA,NA,NA,NA,NA,1497797,NA,NA,NA,NA,NA,NA,NA,11534632,NA,NA,701795,NA,830473,NA,NA,NA,NA,NA,NA,NA,NA,1514625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472401,56958,58679,NA,NA,723689,NA,NA,NA
NA,NA,13217,NA,NA,5050,211434,NA,NA,NA,NA,NA,NA,3490,5774,NA,NA,10112,NA,6426,NA,884,404,NA,NA,7982,615211,NA,NA,1228,NA,NA,900,NA,365,NA,NA,368,NA,4576,1863,NA,NA,NA,77984,NA,NA,NA,NA,26335,45417,NA,NA,NA,138919,35791,NA,3098,NA,9166,18616,NA,10766965,584,NA,274065,7,460869,NA,NA,NA,47439,861,NA,NA,NA,1376588,13019,NA,NA,NA,3762,NA,473,160173,NA,762,NA,NA,NA,NA,879,4616,633926,5572,79211,NA,NA,563945,NA,NA,NA
